Algorithm,Run,HV,ONVG,SPACING,SPREAD,MAXIMUM SPREAD,ONVGR,Error Ratio,Max Pareto Front Error,GD,IGD
OMOPSO,1,0.186812598,12,0.4789402348719065,0.5753630214427291,0.6023668013282796,0.8571428571428571,0.75,4.104703969253292,0.4639895434939056,0.8192764859986
OMOPSO,2,0.2432110466,22,2.255862839670585,1.347976885367402,0.933047564016401,0.9166666666666666,0.9090909090909091,12.451321901421073,1.1914192369700098,0.7537457137236663
OMOPSO,3,0.2443394826,11,15.644750386258494,3.563713615993082,0.8282586013398081,0.5789473684210527,0.7272727272727273,32.36841829619162,3.5756699880737415,0.798571699028409
SMPSO,1,0.3264600875,31,1.1530074791347735,0.9145431398741266,1.1014328337543666,2.2142857142857144,0.9354838709677419,48.641858475799125,3.458597582783268,0.4559794435192935
SMPSO,2,0.2151563542,16,3.194389009943276,1.6098808734919374,1.0447924555204013,0.6666666666666666,0.6875,12.659620004026044,1.3155302194318745,0.347938140686042
SMPSO,3,0.2096380919,23,1.5375053628893092,0.9884600832485796,0.716430291121693,1.2105263157894737,0.6956521739130435,4.325182589304863,0.30075497210394997,0.1928016358412961
MOEAD,1,0.3305409743,31,2.92104069545353,1.3324241159323027,0.6975355909765116,2.2142857142857144,1.0,20.086372106823045,1.3227674657142134,0.478894532586668
MOEAD,2,0.2973961145,38,3.56834321913784,0.9672110796034048,0.6405920347532318,1.5833333333333333,1.0,14.001670071254516,0.652370958836295,1.3509701718450369
MOEAD,3,0.3048246475,20,2.7734933695325488,1.235811381151452,0.6073393059337766,1.0526315789473684,1.0,10.769825273512355,1.137126103505929,0.34432991368946037
SPEA2,1,0.2907258308,27,2.709998648428337,1.320335746883739,0.5849958354025048,1.9285714285714286,1.0,16.66668701363704,0.9210362595026905,1.0616213535097276
SPEA2,2,0.2518588534,26,2.131164198232442,0.9870252651454944,0.4682912363545836,1.0833333333333333,1.0,12.775211582940804,1.1168513759332144,2.179651639136679
SPEA2,3,0.2647699963,15,15.109216363700833,2.2599836211148654,0.5676583883772377,0.7894736842105263,0.9333333333333333,15.216702949341952,1.426728431435884,0.9944743513355968
EpsMOEA,1,0.249031751,24,0.587947883912433,0.6565499362471484,0.45825990781863063,1.7142857142857142,1.0,9.151050932749186,0.8451908027398325,1.154529754343376
EpsMOEA,2,0.2866525474,32,0.5609500722742898,0.47459864003666463,0.4621411103333006,1.3333333333333333,1.0,14.952556334058773,1.5865316244521075,2.6109359055151704
EpsMOEA,3,0.3203237294,35,1.1815226346917818,0.794917712440622,0.7204453330105647,1.8421052631578947,1.0,20.474029766221573,1.776531373933119,0.4008667136161704
PESA2,1,0.2982225855,33,1.5000801659579885,0.9043287542803874,0.6176400594236097,2.357142857142857,1.0,14.299829277105975,0.9586168666240257,0.6797872643166384
PESA2,2,0.304960282,27,11.777829164201375,1.4946917304635283,0.6146281094289466,1.125,0.9259259259259259,12.682052101402673,1.015079998449565,1.2798699056547587
PESA2,3,0.3192062588,28,2.1916569214179296,1.0956743189445277,0.5854119853258498,1.4736842105263157,1.0,23.148548158554206,1.5347342530563233,1.6195647297288962
