Total time (s),Time o1,Time o2,α1,y1,α2,y2,α3,y3,α4,y4,α5,y5,O1,O2
25.493000030517578,25.493000030517578,0.0,0.34574532691095294,24.895898551732902,0.46303155656556605,14.731077039228017,-1.5106692227541352,23.388116274014408,0.843139357442444,29.9322796877106,-0.44004536081924894,13.600699841530384,1.1745494396338656,-144.2438839084371
25.616999864578247,25.616999864578247,0.0,0.8326175675181235,0.40315128674672823,0.417808624201389,12.19220700489025,-0.217862980844304,29.488970088766717,-0.2973745076584349,11.357919398074904,0.01477524712894085,6.909870289940371,1.5600189943301406,-147.19049438937222
25.6489999294281,25.6489999294281,0.0,-0.20773763049327099,27.92581989202603,1.4932922455637847,3.343321566661784,0.08301335964060197,2.692955328351478,-1.0293993235483174,22.13020194627084,0.7511291729966438,10.574913209070953,1.1687123412934872,-185.45157336407217
25.756999969482422,25.756999969482422,0.0,1.1529289633637223,12.723676488568728,-0.14221695211437835,26.465815164482485,-0.9341170196117808,11.871405362532876,-0.2973419303252012,8.55836435792566,0.3453119690990478,13.485653675417623,1.2845325752773842,-132.86307920388504
25.591000080108643,25.591000080108643,0.0,0.6910738184276775,7.612238159387482,0.2700694740569545,21.909087184769668,-0.5691747825842042,23.812297153068723,1.2911224570329072,5.692283159131971,1.3122137675883296,31.190715192642667,1.317111027566065,-173.87304291849708
25.70300006866455,25.70300006866455,0.0,0.1313502960123305,10.879250995107858,0.26902321857694367,15.960287790760837,1.278569415557108,10.658504411949416,-0.6682162979358853,29.969419022029076,0.7158621382266315,16.68331903636116,1.294156365096737,-129.14298306452645
25.61299991607666,25.61299991607666,0.0,1.2139069145560857,16.5584418623527,-1.354354660028622,10.196935887571628,1.0871475734767952,27.01612387102251,-0.24455064915115377,27.8202629694371,0.7698955908405227,27.62342552823395,1.2135099420504343,-155.83960008203522
25.618000030517578,25.618000030517578,0.0,-0.6206674450713986,11.589670262181821,-0.7838531082047805,20.66995329658641,1.0543870315915527,1.4582282906403117,-0.6778431153225634,4.533018266249417,0.7768937480187637,15.201108804215455,1.1759152513936346,-150.47035014851963
25.587000131607056,25.587000131607056,0.0,0.8799751465709615,5.673686594941751,-1.28809832647422,4.1258832314507226,1.2547656240786904,30.556121474846176,1.4926442496769252,3.7375923419456267,0.2720924074894042,30.64298527622951,1.227438241335532,-222.83252812355207
25.69600009918213,25.69600009918213,0.0,0.5370105861103802,3.7888496604598925,1.0168429369085854,4.767332631598215,-1.0827844046876323,22.176518492340126,-0.23542010584126594,29.402279769455063,0.8045197579284853,5.05118552803329,1.2913066875843855,-172.72014816137226
25.533999919891357,25.533999919891357,0.0,0.5405432195709738,3.8771199659521853,1.0221647823233826,28.71252468769997,-0.717230940778105,21.07120501753838,1.0479538131684056,26.22408094779283,-0.9458675163464983,11.744962339557375,1.2187618208082411,-176.10585150131647
25.707000017166138,25.707000017166138,0.0,1.2445367913347227,25.098360969520115,1.2373500093897634,28.952291133543856,-1.0987805749280983,21.705400011792317,1.2379030667704285,9.295002034369015,-1.317046928972069,9.74332487393094,0.9356816957801032,-183.0115208414668
25.806999921798706,25.806999921798706,0.0,1.0324684972921387,10.485812991842955,-0.8667663277342532,20.295186592179583,-0.14907363314485322,10.78587727465617,-0.646099083749052,7.750519882805002,1.2922651521221735,8.18009725637591,1.1133638831123536,-130.41855780156374
25.5719997882843,25.5719997882843,0.0,-0.12517156876983804,22.319166888849143,0.7219993813918482,2.953692276483564,-0.10581037060671239,30.801360445871133,-1.1699483218807623,10.3719440775032,1.2975518633228198,8.294216661483576,1.319211204315231,-186.61417637166244
25.77500009536743,25.77400016784668,0.0,1.4715780218455303,16.961037667016498,-0.9419092504885774,12.109146452271423,1.1604264489399494,27.307733735503597,0.9445793541321987,25.586937975967412,0.09980805101930157,3.4035356565496184,1.2142935907109484,-168.46559744287413
25.993000030517578,25.993000030517578,0.0,1.305262338378863,21.01460388449869,-1.1128138345279495,14.626821090783833,1.371956839171696,12.612612456884618,-0.06686280604689898,29.78513038483954,-0.21773635810394176,30.02701299905001,1.2017980029048132,-160.63438659460635
25.76800012588501,25.76800012588501,0.0,-1.1627879446157163,28.926180916229683,1.0970504954186966,0.4046258985223342,0.44463152107434345,12.264453414446278,1.4689899380485567,13.94458626895466,0.8891538107083958,23.34357801136699,1.433158819377095,-181.681031249786
25.8439998626709,25.8439998626709,0.0,-1.3044079610447081,3.493542534885916,1.2340097360542033,12.630892678439235,0.004188393645861099,2.3999788256280574,-0.5012072723837038,6.829150377865583,1.1593561448249918,25.53677719926665,1.1101424624845508,-171.6679376602202
25.663000106811523,25.66200017929077,0.0009999275207519531,0.994509700790891,5.373729691988269,-0.31830811116243596,23.817445211312382,0.18625365825700113,1.634100338759115,0.06938652246845045,31.152301015692004,-0.7298770403047395,5.268723525198389,1.4014386353956985,-189.4385878593142
25.872999906539917,25.872999906539917,0.0,0.6777391428138477,3.3433261195088817,0.20413028740393635,22.656989522541576,-1.4154822146416706,22.50482299778875,-0.1034851541444759,3.223697147194282,0.7196378336565337,19.619672980297196,1.2896898023697942,-168.50694507522326
25.728000164031982,25.728000164031982,0.0,1.1529289633637223,12.723676488568728,-0.14221695211437835,26.465815164482485,-0.9341170196117808,11.871405362532876,-0.2973419303252012,8.55836435792566,0.3453119690990478,13.485653675417623,1.2845325752774868,-132.86307920388504
